_id,final_remark,name,scores
5,,Wilburn Spiess,"[{""score"":44.87186330181261,""type"":""exam"",""remark"":""pass""},{""score"":25.72395114668016,""type"":""quiz"",""remark"":""fail""},{""score"":63.42288310628662,""type"":""homework"",""remark"":""pass""}]"
10,Pass,Denisha Cast,"[{""score"":45.61876862259409,""type"":""exam"",""remark"":""pass""},{""score"":98.35723209418343,""type"":""quiz"",""remark"":""pass""},{""score"":55.90835657173456,""type"":""homework"",""remark"":""pass""}]"
19,,Gisela Levin,"[{""score"":44.51211101958831,""type"":""exam"",""remark"":""pass""},{""score"":0.6578497966368002,""type"":""quiz"",""remark"":""fail""},{""score"":93.36341655949683,""type"":""homework"",""remark"":""pass""}]"
20,Pass,Tressa Schwing,"[{""score"":42.17439799514388,""type"":""exam"",""remark"":""pass""},{""score"":71.99314840599558,""type"":""quiz"",""remark"":""pass""},{""score"":81.23972632069464,""type"":""homework"",""remark"":""pass""}]"
21,,Rosana Vales,"[{""score"":46.2289476258328,""type"":""exam"",""remark"":""pass""},{""score"":98.34164225207036,""type"":""quiz"",""remark"":""pass""},{""score"":36.18769746805938,""type"":""homework"",""remark"":""fail""}]"
23,Pass,Tamika Schildgen,"[{""score"":45.65432764125526,""type"":""exam"",""remark"":""pass""},{""score"":64.32927049658846,""type"":""quiz"",""remark"":""pass""},{""score"":83.53933351660562,""type"":""homework"",""remark"":""pass""}]"
29,,Gwyneth Garling,"[{""score"":48.36644963899371,""type"":""exam"",""remark"":""pass""},{""score"":10.37827022865908,""type"":""quiz"",""remark"":""fail""},{""score"":93.26639335532833,""type"":""homework"",""remark"":""pass""}]"
42,,Kayce Kenyon,"[{""score"":44.62441703708117,""type"":""exam"",""remark"":""pass""},{""score"":27.38208798553111,""type"":""quiz"",""remark"":""fail""},{""score"":97.43587143437509,""type"":""homework"",""remark"":""pass""}]"
45,,Terica Brugger,"[{""score"":42.1011312120801,""type"":""exam"",""remark"":""pass""},{""score"":41.73654145887228,""type"":""quiz"",""remark"":""pass""},{""score"":18.91287189072117,""type"":""homework"",""remark"":""fail""}]"
57,,Chad Rahe,"[{""score"":40.84572027366789,""type"":""exam"",""remark"":""pass""},{""score"":29.22733629679561,""type"":""quiz"",""remark"":""fail""},{""score"":93.12112348179406,""type"":""homework"",""remark"":""pass""}]"
68,Pass,Jenise Mcguffie,"[{""score"":40.15210496060384,""type"":""exam"",""remark"":""pass""},{""score"":90.60219950183566,""type"":""quiz"",""remark"":""pass""},{""score"":51.58720341010564,""type"":""homework"",""remark"":""pass""}]"
89,,Cassi Heal,"[{""score"":43.04310994985133,""type"":""exam"",""remark"":""pass""},{""score"":0.006247360551892012,""type"":""quiz"",""remark"":""fail""},{""score"":63.88558436723092,""type"":""homework"",""remark"":""pass""}]"
100,,Demarcus Audette,"[{""score"":47.42608580155614,""type"":""exam"",""remark"":""pass""},{""score"":44.83416623719906,""type"":""quiz"",""remark"":""pass""},{""score"":39.01726616178844,""type"":""homework"",""remark"":""fail""}]"
109,Pass,Flora Duell,"[{""score"":40.68238966626067,""type"":""exam"",""remark"":""pass""},{""score"":46.77972040308903,""type"":""quiz"",""remark"":""pass""},{""score"":69.29400057020965,""type"":""homework"",""remark"":""pass""}]"
126,Pass,Quincy Danaher,"[{""score"":40.53136904234401,""type"":""exam"",""remark"":""pass""},{""score"":83.09270171511093,""type"":""quiz"",""remark"":""pass""},{""score"":79.004550587978,""type"":""homework"",""remark"":""pass""}]"
128,,Alix Sherrill,"[{""score"":43.67436243299881,""type"":""exam"",""remark"":""pass""},{""score"":14.98112420690882,""type"":""quiz"",""remark"":""fail""},{""score"":23.62416821198536,""type"":""homework"",""remark"":""fail""}]"
142,,Laureen Salomone,"[{""score"":42.54322973844196,""type"":""exam"",""remark"":""pass""},{""score"":33.03152379449381,""type"":""quiz"",""remark"":""fail""},{""score"":77.52357320933667,""type"":""homework"",""remark"":""pass""}]"
143,,Gwyneth Garling,"[{""score"":44.29553481758053,""type"":""exam"",""remark"":""pass""},{""score"":23.15599504527296,""type"":""quiz"",""remark"":""fail""},{""score"":84.83695219376807,""type"":""homework"",""remark"":""pass""}]"
155,,Aleida Elsass,"[{""score"":42.89558347656537,""type"":""exam"",""remark"":""pass""},{""score"":94.10647660402866,""type"":""quiz"",""remark"":""pass""},{""score"":30.56402201379193,""type"":""homework"",""remark"":""fail""}]"
164,,Alica Pasley,"[{""score"":41.3852820348269,""type"":""exam"",""remark"":""pass""},{""score"":87.0183839032626,""type"":""quiz"",""remark"":""pass""},{""score"":37.22917544696978,""type"":""homework"",""remark"":""fail""}]"
167,Pass,Malisa Jeanes,"[{""score"":40.68676040665008,""type"":""exam"",""remark"":""pass""},{""score"":52.60826688242043,""type"":""quiz"",""remark"":""pass""},{""score"":94.67979508129564,""type"":""homework"",""remark"":""pass""}]"
184,Pass,Harriett Velarde,"[{""score"":41.47988283148075,""type"":""exam"",""remark"":""pass""},{""score"":95.69493673358075,""type"":""quiz"",""remark"":""pass""},{""score"":83.03916048182315,""type"":""homework"",""remark"":""pass""}]"
193,Pass,Mariela Sherer,"[{""score"":47.67196715489599,""type"":""exam"",""remark"":""pass""},{""score"":41.55743490493954,""type"":""quiz"",""remark"":""pass""},{""score"":70.4612811769744,""type"":""homework"",""remark"":""pass""}]"
