_id,final_remark,name,scores
0,fail,aimee Zank,"[{""score"":1.463179736705023,""type"":""exam"",""remark"":""fail""},{""score"":11.78273309957772,""type"":""quiz"",""remark"":""fail""},{""score"":35.8740349954354,""type"":""homework"",""remark"":""fail""}]"
1,Pass,Aurelia Menendez,"[{""score"":60.06045071030959,""type"":""exam"",""remark"":""pass""},{""score"":52.79790691903873,""type"":""quiz"",""remark"":""pass""},{""score"":71.76133439165544,""type"":""homework"",""remark"":""pass""}]"
2,,Corliss Zuk,"[{""score"":67.03077096065002,""type"":""exam"",""remark"":""pass""},{""score"":6.301851677835235,""type"":""quiz"",""remark"":""fail""},{""score"":66.28344683278382,""type"":""homework"",""remark"":""pass""}]"
3,,Bao Ziglar,"[{""score"":71.64343899778332,""type"":""exam"",""remark"":""pass""},{""score"":24.80221293650313,""type"":""quiz"",""remark"":""fail""},{""score"":42.26147058804812,""type"":""homework"",""remark"":""pass""}]"
4,,Zachary Langlais,"[{""score"":78.68385091304332,""type"":""exam"",""remark"":""pass""},{""score"":90.2963101368042,""type"":""quiz"",""remark"":""pass""},{""score"":34.41620148042529,""type"":""homework"",""remark"":""fail""}]"
5,,Wilburn Spiess,"[{""score"":44.87186330181261,""type"":""exam"",""remark"":""pass""},{""score"":25.72395114668016,""type"":""quiz"",""remark"":""fail""},{""score"":63.42288310628662,""type"":""homework"",""remark"":""pass""}]"
6,,Jenette Flanders,"[{""score"":37.32285459166097,""type"":""exam"",""remark"":""fail""},{""score"":28.32634976913737,""type"":""quiz"",""remark"":""fail""},{""score"":81.57115318686338,""type"":""homework"",""remark"":""pass""}]"
7,Pass,Salena Olmos,"[{""score"":90.37826509157176,""type"":""exam"",""remark"":""pass""},{""score"":42.48780666956811,""type"":""quiz"",""remark"":""pass""},{""score"":96.52986171633331,""type"":""homework"",""remark"":""pass""}]"
8,,Daphne Zheng,"[{""score"":22.13583712862635,""type"":""exam"",""remark"":""fail""},{""score"":14.63969941335069,""type"":""quiz"",""remark"":""fail""},{""score"":75.94123677556644,""type"":""homework"",""remark"":""pass""}]"
9,,Sanda Ryba,"[{""score"":97.00509953654694,""type"":""exam"",""remark"":""pass""},{""score"":97.80449632538915,""type"":""quiz"",""remark"":""pass""},{""score"":25.27368532432955,""type"":""homework"",""remark"":""fail""}]"
10,Pass,Denisha Cast,"[{""score"":45.61876862259409,""type"":""exam"",""remark"":""pass""},{""score"":98.35723209418343,""type"":""quiz"",""remark"":""pass""},{""score"":55.90835657173456,""type"":""homework"",""remark"":""pass""}]"
11,Pass,Marcus Blohm,"[{""score"":78.42617835651868,""type"":""exam"",""remark"":""pass""},{""score"":82.58372817930675,""type"":""quiz"",""remark"":""pass""},{""score"":87.49924733328717,""type"":""homework"",""remark"":""pass""}]"
12,Pass,Quincy Danaher,"[{""score"":54.29841278520669,""type"":""exam"",""remark"":""pass""},{""score"":85.61270164694737,""type"":""quiz"",""remark"":""pass""},{""score"":80.40732356118075,""type"":""homework"",""remark"":""pass""}]"
13,Pass,Jessika Dagenais,"[{""score"":90.47179954427436,""type"":""exam"",""remark"":""pass""},{""score"":90.3001402468489,""type"":""quiz"",""remark"":""pass""},{""score"":95.17753772405909,""type"":""homework"",""remark"":""pass""}]"
14,,Alix Sherrill,"[{""score"":25.15924151998215,""type"":""exam"",""remark"":""fail""},{""score"":68.64484047692098,""type"":""quiz"",""remark"":""pass""},{""score"":24.68462152686763,""type"":""homework"",""remark"":""fail""}]"
